المدينة	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
طريف	7	2	1	2	6	0	0	0	0	0	7	9
عرعر	6	2	1	3	2	0	0	0	0	0	15	3
القريات	6	3	0	0	5	0	0	0	0	2	9	5
الجوف	16	1	0	0	4	0	0	0	0	0	0	14
رفحة	14	4	6	1	12	0	0	0	0	8	19	5
القيصومة	0	0	0	2	0	0	0	0	0	1	10	3
تبوك	11	2	0	1	3	0	0	0	0	0	0	9
حفر الباطن	0	1	6	0	3	0	0	0	0	0	0	0
حائل	8	0	0	2	3	0	0	0	0	4	5	1
الوجه	5	3	0	0	0	0	0	0	0	0	4	2
القصيم	2	0	6	3	1	0	0	0	0	0	3	2
الظهران	0	0	0	7	0	0	0	0	0	0	12	1
مطار الملك فهد	2	5	11	7	2	0	0	0	0	0	11	0
الاحساء	2	4	9	9	1	0	0	0	0	0	18	1
المدينة المنورة	0	0	1	1	0	0	0	1	0	2	1	2
مطار الملك خالد	4	0	6	10	5	0	0	0	0	0	5	3
الرياض القديم	0	0	0	0	0	0	0	0	0	0	0	0
ينبع	1	0	0	0	0	0	0	0	0	1	3	2
مطار الملك عبد العزيز	1	0	0	0	0	0	0	0	0	0	0	0
مكة المكرمة	2	0	0	2	0	0	0	5	4	0	1	1
الطائف	0	0	3	4	5	0	0	1	2	4	0	1
الباحه	0	0	3	1	8	0	0	3	0	0	1	2
وادي الدواسر	0	0	1	7	1	0	0	0	0	0	1	0
بيشه	0	0	0	0	0	0	0	4	0	0	0	0
أبها	0	0	4	3	7	1	4	8	0	0	2	0
خميس مشيط	0	0	7	1	8	1	5	4	2	0	3	0
نجران	0	0	6	9	2	0	0	2	1	0	0	0
شروره	0	0	3	1	3	0	1	2	0	0	0	0
جازان	4	0	0	0	0	0	1	4	2	2	3	4

